f [Hz]  Z [Ohm] 
1.20000000000000+0.00000000000000i	0.00000000000000+0.000969056000000000i
33.0000000000000+0.00000000000000i	0.00000000000000+0.0225311000000000i
34.0000000000000+0.00000000000000i	0.00000000000000+0.0231757000000000i
35.0000000000000+0.00000000000000i	0.00000000000000+0.0238191000000000i
36.0000000000000+0.00000000000000i	0.00000000000000+0.0244615000000000i
37.0000000000000+0.00000000000000i	0.00000000000000+0.0251028000000000i
38.0000000000000+0.00000000000000i	0.00000000000000+0.0257431000000000i
39.0000000000000+0.00000000000000i	0.00000000000000+0.0263824000000000i
40.0000000000000+0.00000000000000i	0.00000000000000+0.0270207000000000i
41.0000000000000+0.00000000000000i	0.00000000000000+0.0276581000000000i
42.0000000000000+0.00000000000000i	0.00000000000000+0.0282946000000000i
43.0000000000000+0.00000000000000i	0.00000000000000+0.0289302000000000i
44.0000000000000+0.00000000000000i	0.00000000000000+0.0295649000000000i
45.0000000000000+0.00000000000000i	0.00000000000000+0.0301988000000000i
46.0000000000000+0.00000000000000i	0.00000000000000+0.0308318000000000i
47.0000000000000+0.00000000000000i	0.00000000000000+0.0314640000000000i
48.0000000000000+0.00000000000000i	0.00000000000000+0.0320954000000000i
49.0000000000000+0.00000000000000i	0.00000000000000+0.0327260000000000i
50.0000000000000+0.00000000000000i	0.00000000000000+0.0333558000000000i
51.0000000000000+0.00000000000000i	0.00000000000000+0.0339849000000000i
52.0000000000000+0.00000000000000i	0.00000000000000+0.0346133000000000i
53.0000000000000+0.00000000000000i	0.00000000000000+0.0352409000000000i
54.0000000000000+0.00000000000000i	0.00000000000000+0.0358678000000000i
55.0000000000000+0.00000000000000i	0.00000000000000+0.0364941000000000i
56.0000000000000+0.00000000000000i	0.00000000000000+0.0371196000000000i
57.0000000000000+0.00000000000000i	0.00000000000000+0.0377445000000000i
58.0000000000000+0.00000000000000i	0.00000000000000+0.0383687000000000i
59.0000000000000+0.00000000000000i	0.00000000000000+0.0389922000000000i
60.0000000000000+0.00000000000000i	0.00000000000000+0.0396151000000000i
61.0000000000000+0.00000000000000i	0.00000000000000+0.0402374000000000i
62.0000000000000+0.00000000000000i	0.00000000000000+0.0408591000000000i
63.0000000000000+0.00000000000000i	0.00000000000000+0.0414801000000000i
64.0000000000000+0.00000000000000i	0.00000000000000+0.0421006000000000i
65.0000000000000+0.00000000000000i	0.00000000000000+0.0427205000000000i
66.0000000000000+0.00000000000000i	0.00000000000000+0.0433398000000000i
67.0000000000000+0.00000000000000i	0.00000000000000+0.0439585000000000i
