93.0000000000000+0.00000000000000i	0.388456000000000+0.183143000000000i
94.0000000000000+0.00000000000000i	0.389823000000000+0.183336000000000i
95.0000000000000+0.00000000000000i	0.391177000000000+0.183525000000000i
96.0000000000000+0.00000000000000i	0.392518000000000+0.183709000000000i
97.0000000000000+0.00000000000000i	0.393848000000000+0.183889000000000i
98.0000000000000+0.00000000000000i	0.395166000000000+0.184065000000000i
99.0000000000000+0.00000000000000i	0.396472000000000+0.184236000000000i
100.000000000000+0.00000000000000i	0.397766000000000+0.184404000000000i
110.000000000000+0.00000000000000i	0.410120000000000+0.185873000000000i
120.000000000000+0.00000000000000i	0.421509000000000+0.187020000000000i
130.000000000000+0.00000000000000i	0.432067000000000+0.187906000000000i
140.000000000000+0.00000000000000i	0.441901000000000+0.188577000000000i
150.000000000000+0.00000000000000i	0.451100000000000+0.189070000000000i
160.000000000000+0.00000000000000i	0.459734000000000+0.189413000000000i
170.000000000000+0.00000000000000i	0.467865000000000+0.189631000000000i
180.000000000000+0.00000000000000i	0.475544000000000+0.189742000000000i
190.000000000000+0.00000000000000i	0.482816000000000+0.189762000000000i
200.000000000000+0.00000000000000i	0.489717000000000+0.189705000000000i
210.000000000000+0.00000000000000i	0.496280000000000+0.189580000000000i
220.000000000000+0.00000000000000i	0.502535000000000+0.189398000000000i
230.000000000000+0.00000000000000i	0.508506000000000+0.189166000000000i
240.000000000000+0.00000000000000i	0.514216000000000+0.188890000000000i
250.000000000000+0.00000000000000i	0.519684000000000+0.188577000000000i
260.000000000000+0.00000000000000i	0.524927000000000+0.188232000000000i
270.000000000000+0.00000000000000i	0.529963000000000+0.187858000000000i
280.000000000000+0.00000000000000i	0.534804000000000+0.187459000000000i
290.000000000000+0.00000000000000i	0.539464000000000+0.187039000000000i
300.000000000000+0.00000000000000i	0.543955000000000+0.186600000000000i
310.000000000000+0.00000000000000i	0.548286000000000+0.186145000000000i
320.000000000000+0.00000000000000i	0.552468000000000+0.185676000000000i
330.000000000000+0.00000000000000i	0.556510000000000+0.185194000000000i
340.000000000000+0.00000000000000i	0.560418000000000+0.184703000000000i
350.000000000000+0.00000000000000i	0.564202000000000+0.184202000000000i
360.000000000000+0.00000000000000i	0.567867000000000+0.183693000000000i
370.000000000000+0.00000000000000i	0.571420000000000+0.183179000000000i
380.000000000000+0.00000000000000i	0.574866000000000+0.182658000000000i
390.000000000000+0.00000000000000i	0.578212000000000+0.182133000000000i
400.000000000000+0.00000000000000i	0.581462000000000+0.181605000000000i
410.000000000000+0.00000000000000i	0.584620000000000+0.181073000000000i
420.000000000000+0.00000000000000i	0.587692000000000+0.180539000000000i
430.000000000000+0.00000000000000i	0.590681000000000+0.180004000000000i
440.000000000000+0.00000000000000i	0.593590000000000+0.179467000000000i
450.000000000000+0.00000000000000i	0.596424000000000+0.178929000000000i
460.000000000000+0.00000000000000i	0.599186000000000+0.178392000000000i
470.000000000000+0.00000000000000i	0.601878000000000+0.177854000000000i
480.000000000000+0.00000000000000i	0.604504000000000+0.177317000000000i
490.000000000000+0.00000000000000i	0.607067000000000+0.176780000000000i
500.000000000000+0.00000000000000i	0.609568000000000+0.176245000000000i
510.000000000000+0.00000000000000i	0.612011000000000+0.175711000000000i
520.000000000000+0.00000000000000i	0.614398000000000+0.175178000000000i
530.000000000000+0.00000000000000i	0.616730000000000+0.174648000000000i
540.000000000000+0.00000000000000i	0.619011000000000+0.174119000000000i
550.000000000000+0.00000000000000i	0.621241000000000+0.173592000000000i
560.000000000000+0.00000000000000i	0.623424000000000+0.173067000000000i
570.000000000000+0.00000000000000i	0.625559000000000+0.172545000000000i
580.000000000000+0.00000000000000i	0.627650000000000+0.172025000000000i
590.000000000000+0.00000000000000i	0.629697000000000+0.171507000000000i
600.000000000000+0.00000000000000i	0.631703000000000+0.170993000000000i
