28000.0000000000+0.00000000000000i	0.00000000000000+18.7706000000000i
29000.0000000000+0.00000000000000i	0.00000000000000+19.3798000000000i
30000.0000000000+0.00000000000000i	0.00000000000000+19.9870000000000i
31000.0000000000+0.00000000000000i	0.00000000000000+20.5922000000000i
32000.0000000000+0.00000000000000i	0.00000000000000+21.1954000000000i
33000.0000000000+0.00000000000000i	0.00000000000000+21.7967000000000i
34000.0000000000+0.00000000000000i	0.00000000000000+22.3962000000000i
35000.0000000000+0.00000000000000i	0.00000000000000+22.9940000000000i
36000.0000000000+0.00000000000000i	0.00000000000000+23.5900000000000i
37000.0000000000+0.00000000000000i	0.00000000000000+24.1844000000000i
38000.0000000000+0.00000000000000i	0.00000000000000+24.7771000000000i
39000.0000000000+0.00000000000000i	0.00000000000000+25.3683000000000i
40000.0000000000+0.00000000000000i	0.00000000000000+25.9579000000000i
41000.0000000000+0.00000000000000i	0.00000000000000+26.5460000000000i
42000.0000000000+0.00000000000000i	0.00000000000000+27.1326000000000i
43000.0000000000+0.00000000000000i	0.00000000000000+27.7179000000000i
44000.0000000000+0.00000000000000i	0.00000000000000+28.3017000000000i
45000.0000000000+0.00000000000000i	0.00000000000000+28.8841000000000i
46000.0000000000+0.00000000000000i	0.00000000000000+29.4652000000000i
47000.0000000000+0.00000000000000i	0.00000000000000+30.0451000000000i
48000.0000000000+0.00000000000000i	0.00000000000000+30.6236000000000i
49000.0000000000+0.00000000000000i	0.00000000000000+31.2009000000000i
50000.0000000000+0.00000000000000i	0.00000000000000+31.7769000000000i
51000.0000000000+0.00000000000000i	0.00000000000000+32.3518000000000i
52000.0000000000+0.00000000000000i	0.00000000000000+32.9254000000000i
53000.0000000000+0.00000000000000i	0.00000000000000+33.4980000000000i
54000.0000000000+0.00000000000000i	0.00000000000000+34.0693000000000i
55000.0000000000+0.00000000000000i	0.00000000000000+34.6396000000000i
56000.0000000000+0.00000000000000i	0.00000000000000+35.2088000000000i
57000.0000000000+0.00000000000000i	0.00000000000000+35.7769000000000i
58000.0000000000+0.00000000000000i	0.00000000000000+36.3440000000000i
59000.0000000000+0.00000000000000i	0.00000000000000+36.9100000000000i
