f [Hz]  Z [Ohm] 
 (1.50000e+02+0.00000e+00j)  (4.24745e-01+1.87014e-01j)
 (1.60000e+02+0.00000e+00j)  (4.33267e-01+1.87679e-01j)
 (1.70000e+02+0.00000e+00j)  (4.41311e-01+1.88203e-01j)
 (1.80000e+02+0.00000e+00j)  (4.48923e-01+1.88606e-01j)
 (1.90000e+02+0.00000e+00j)  (4.56145e-01+1.88905e-01j)
 (2.00000e+02+0.00000e+00j)  (4.63013e-01+1.89113e-01j)
 (2.10000e+02+0.00000e+00j)  (4.69556e-01+1.89242e-01j)
 (2.20000e+02+0.00000e+00j)  (4.75803e-01+1.89302e-01j)
 (2.30000e+02+0.00000e+00j)  (4.81776e-01+1.89302e-01j)
 (2.40000e+02+0.00000e+00j)  (4.87496e-01+1.89249e-01j)
 (2.50000e+02+0.00000e+00j)  (4.92983e-01+1.89148e-01j)
 (2.60000e+02+0.00000e+00j)  (4.98252e-01+1.89006e-01j)
 (2.70000e+02+0.00000e+00j)  (5.03320e-01+1.88827e-01j)
 (2.80000e+02+0.00000e+00j)  (5.08198e-01+1.88615e-01j)
 (2.90000e+02+0.00000e+00j)  (5.12901e-01+1.88375e-01j)
 (3.00000e+02+0.00000e+00j)  (5.17437e-01+1.88108e-01j)
 (3.10000e+02+0.00000e+00j)  (5.21819e-01+1.87819e-01j)
 (3.20000e+02+0.00000e+00j)  (5.26054e-01+1.87509e-01j)
 (3.30000e+02+0.00000e+00j)  (5.30151e-01+1.87180e-01j)
 (3.40000e+02+0.00000e+00j)  (5.34119e-01+1.86836e-01j)
 (3.50000e+02+0.00000e+00j)  (5.37963e-01+1.86477e-01j)
 (3.60000e+02+0.00000e+00j)  (5.41691e-01+1.86105e-01j)
 (3.70000e+02+0.00000e+00j)  (5.45308e-01+1.85721e-01j)
 (3.80000e+02+0.00000e+00j)  (5.48821e-01+1.85327e-01j)
 (3.90000e+02+0.00000e+00j)  (5.52234e-01+1.84925e-01j)
 (4.00000e+02+0.00000e+00j)  (5.55553e-01+1.84514e-01j)
 (4.10000e+02+0.00000e+00j)  (5.58780e-01+1.84096e-01j)
 (4.20000e+02+0.00000e+00j)  (5.61922e-01+1.83672e-01j)
 (4.30000e+02+0.00000e+00j)  (5.64982e-01+1.83242e-01j)
 (4.40000e+02+0.00000e+00j)  (5.67963e-01+1.82808e-01j)
 (4.50000e+02+0.00000e+00j)  (5.70869e-01+1.82369e-01j)
 (4.60000e+02+0.00000e+00j)  (5.73703e-01+1.81927e-01j)
 (4.70000e+02+0.00000e+00j)  (5.76468e-01+1.81482e-01j)
