f [Hz]  Z [Ohm] 
1.20000000000000+0.00000000000000i	0.0580274000000000+0.0485419000000000i
5.40000000000000+0.00000000000000i	0.116079000000000+0.0860580000000000i
5.50000000000000+0.00000000000000i	0.117029000000000+0.0866118000000000i
5.60000000000000+0.00000000000000i	0.117969000000000+0.0871577000000000i
5.70000000000000+0.00000000000000i	0.118899000000000+0.0876961000000000i
5.80000000000000+0.00000000000000i	0.119819000000000+0.0882271000000000i
5.90000000000000+0.00000000000000i	0.120729000000000+0.0887509000000000i
6.00000000000000+0.00000000000000i	0.121630000000000+0.0892678000000000i
6.10000000000000+0.00000000000000i	0.122521000000000+0.0897779000000000i
6.20000000000000+0.00000000000000i	0.123404000000000+0.0902815000000000i
6.30000000000000+0.00000000000000i	0.124278000000000+0.0907786000000000i
6.40000000000000+0.00000000000000i	0.125143000000000+0.0912695000000000i
6.50000000000000+0.00000000000000i	0.126001000000000+0.0917544000000000i
6.60000000000000+0.00000000000000i	0.126850000000000+0.0922333000000000i
6.70000000000000+0.00000000000000i	0.127691000000000+0.0927064000000000i
6.80000000000000+0.00000000000000i	0.128524000000000+0.0931739000000000i
6.90000000000000+0.00000000000000i	0.129350000000000+0.0936360000000000i
7.00000000000000+0.00000000000000i	0.130169000000000+0.0940926000000000i
7.10000000000000+0.00000000000000i	0.130980000000000+0.0945441000000000i
7.20000000000000+0.00000000000000i	0.131784000000000+0.0949904000000000i
7.30000000000000+0.00000000000000i	0.132582000000000+0.0954317000000000i
7.40000000000000+0.00000000000000i	0.133372000000000+0.0958682000000000i
7.50000000000000+0.00000000000000i	0.134156000000000+0.0962998000000000i
7.60000000000000+0.00000000000000i	0.134934000000000+0.0967269000000000i
7.70000000000000+0.00000000000000i	0.135705000000000+0.0971493000000000i
7.80000000000000+0.00000000000000i	0.136470000000000+0.0975673000000000i
7.90000000000000+0.00000000000000i	0.137229000000000+0.0979810000000000i
8.00000000000000+0.00000000000000i	0.137982000000000+0.0983903000000000i
8.10000000000000+0.00000000000000i	0.138729000000000+0.0987955000000000i
8.20000000000000+0.00000000000000i	0.139470000000000+0.0991965000000000i
8.30000000000000+0.00000000000000i	0.140206000000000+0.0995936000000000i
8.40000000000000+0.00000000000000i	0.140936000000000+0.0999867000000000i
8.50000000000000+0.00000000000000i	0.141661000000000+0.100376000000000i
8.60000000000000+0.00000000000000i	0.142380000000000+0.100761000000000i
8.70000000000000+0.00000000000000i	0.143095000000000+0.101143000000000i
8.80000000000000+0.00000000000000i	0.143804000000000+0.101521000000000i
8.90000000000000+0.00000000000000i	0.144508000000000+0.101896000000000i
9.00000000000000+0.00000000000000i	0.145207000000000+0.102267000000000i
9.10000000000000+0.00000000000000i	0.145901000000000+0.102635000000000i
9.20000000000000+0.00000000000000i	0.146590000000000+0.102999000000000i
9.30000000000000+0.00000000000000i	0.147275000000000+0.103360000000000i
9.40000000000000+0.00000000000000i	0.147955000000000+0.103717000000000i
9.50000000000000+0.00000000000000i	0.148631000000000+0.104072000000000i
9.60000000000000+0.00000000000000i	0.149302000000000+0.104423000000000i
9.70000000000000+0.00000000000000i	0.149969000000000+0.104772000000000i
9.80000000000000+0.00000000000000i	0.150631000000000+0.105117000000000i
9.90000000000000+0.00000000000000i	0.151289000000000+0.105459000000000i
10.0000000000000+0.00000000000000i	0.151943000000000+0.105798000000000i
11.0000000000000+0.00000000000000i	0.158265000000000+0.109041000000000i
12.0000000000000+0.00000000000000i	0.164230000000000+0.112037000000000i
